ImageNumber,ObjectNumber,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,Intensity_MedianIntensity_CDX2,Intensity_MedianIntensity_CK20,Intensity_MedianIntensity_CK7,Intensity_MedianIntensity_DAPI,Intensity_MedianIntensity_Ki67,Intensity_MedianIntensity_PanCK
1,120,35,306,945,301,938,0.4627450704574585,0.239215686917305,0.0,0.38823530077934265,0.0,0.0313725508749485
1,121,210,1874,950,1860,935,0.07647059112787247,0.007843137718737125,0.0,0.3647059202194214,0.0,0.0
1,122,56,1786,949,1778,942,0.29019609093666077,0.003921568859368563,0.0,0.3803921639919281,0.0,0.003921568859368563
1,123,28,1820,949,1816,942,0.22745098173618317,0.23333331942558289,0.0,0.3490195870399475,0.0,0.0
1,124,36,302,951,296,945,0.4431372433900833,0.2705882489681244,0.0,0.4176470637321472,0.0,0.05294117517769337
1,125,30,1813,953,1808,947,0.37254902720451355,0.239215686917305,0.0,0.4431372582912445,0.0,0.0
1,126,48,1719,957,1711,951,0.36078429222106934,0.027450978755950928,0.0,0.33725492656230927,0.0,0.0313725508749485
1,127,63,1778,959,1769,952,0.32549020648002625,0.0,0.0,0.41960784792900085,0.0,0.0
1,128,56,509,960,501,953,0.3647059202194214,0.23137253522872925,0.003921568859368563,0.4431372582912445,0.0,0.0
1,129,80,1856,972,1846,964,0.35294121503829956,0.06862745434045792,0.0,0.4411764591932297,0.0,0.0
1,130,25,1814,972,1809,967,0.4941176176071167,0.2705882489681244,0.0313725508749485,0.46666666865348816,0.0,0.0
1,131,56,1210,974,1202,967,0.08235294371843338,0.17450981587171555,0.0,0.3431372344493866,0.0,0.2078431323170662
1,132,168,1763,978,1749,966,0.35686275362968445,0.0313725508749485,0.0,0.4117647111415863,0.003921568859368563,0.0
1,133,36,1994,977,1988,971,0.3058823347091675,0.23529410362243652,0.0,0.3647059202194214,0.0,0.2980392277240753
1,134,30,1776,978,1771,972,0.2823529541492462,0.07058823853731155,0.0,0.4156862795352936,0.0,0.0
